tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2458569.941,1.3812115,2.7372191,117.7553083,8.004,106.505,6711,4.06358,1.7756799
candidate,2458383.241,2.3922703,9.0053425,63.575141,8.3902,309.932,6090,3.29864,4.1956
non-candidate,2458569.713,0.831542,1.985538,248.969585,8.6014,1698.55,5824,4.438,1.1512
candidate,2458325.54,2.6282553,2.0930597,75.2858004,9.2397,113.758,6282,4.37809,1.10743
candidate,2458327.477,3.4239436,1.9601023,443.6391381,10.5924,134.757,5626,4.56195,0.823019
candidate,2458331.12,10.983042,3.7478987,725.1724567,10.5924,134.757,5626,4.56195,0.823019
candidate,2458341.802,17.726449,3.4404719,747.7725499,10.5924,134.757,5626,4.56195,0.823019
candidate,2458337.088,40.7199388,4.2436925,355.619391,9.597,173.833,5914,3.98,1.55953
candidate,2459074.329,14.7741056,5.504,15041,9.9358,182.169,6053,4.3135,1.23
non-candidate,2459187.361,79.3739596,5.392,1227,11.1762,144.133,5168.33,4.60584,0.77
candidate,2460180.146,18.1663644,2.464,624,9.8135,133.335,5572.9,3.83,1.14
candidate,2458402.037,105.5850893,11.6068811,462.9116325,10.4016,190.986,5909.57,4.26154,1.1142
non-candidate,2458576.189,27.2149622,3.7190483,4731.404623,10.6392,161.33,6270,4.54537,0.989667
candidate,2458634.552,19.1807264,3.9621084,544.5602695,10.0329,107.048,5262.4,3.98,0.937973
candidate,2458570.396,1.2124493,0.9984653,501.2911711,10.42,34.6633,3751,4.75718,0.518
candidate,2458325.424,4.5541831,7.8146963,187.8286128,11.546,99.5413,4280,4.61209,0.635812
candidate,2458574.941,41.4856125,6.6899368,959.7522291,9.6517,463.223,6354,4.24472,3.4868701
candidate,2458336.632,13.7738265,2.9992376,338.2166234,10.3869,135.689,5455.96,4.46737,1.01825
candidate,2460121.561,1.9142544,3.256,248,10.1207,301.291,6734,4.18582,1.59
candidate,2458329.119,5.0780325,1.2100353,5923.128307,13.084,62.118,3318,4.9581,0.334125
candidate,2458439.58,70.3607265,1.0325441,1353.967825,9.5298,273.698,6308,3.98679,2.0982201
candidate,2458404.181,91.6827832,9.7504857,713.2183569,10.0564,138.411,5802,4.44521,1.01814
candidate,2458329.466,10.1944993,2.2648785,317.3261147,10.3014,226.932,6082,4.33287,1.32661
non-candidate,2458337.747,14.64319,2.5483426,242.7923919,9.3109,237.7,6516,3.99366,2.04178
candidate,2458327.705,4.1782656,1.675904,2537.67816,11.556,37.3312,3442,4.893,0.404403
candidate,2458329.863,17.9453645,3.0740072,5480.684864,11.556,37.3312,3442,4.893,0.404403
candidate,2458414.083,13.896396,3.5885605,748.5332881,11.7582,252.615,5522.87,4.67156,0.888163
candidate,2458414.548,8.1213102,3.1040945,594.6443745,11.7582,252.615,5522.87,4.67156,0.888163
candidate,2458438.458,3.9287851,1.8165271,485.9762569,11.5514,257.93,5668.15,4.52573,0.986943
candidate,2458617.479,27.3613778,4.0586418,20690.66843,13.802,100.641,3050,4.438,0.44128
candidate,2460178.462,29.0497517,7.117,318,9.0963,272.217,8208,4.25979,1.8
candidate,2459970.492,31.8132264,11.2567164,11479.37555,10.779,254.584,6028.84,3.96199,1.98893
candidate,2460175.035,3.3088922,6.114,4736,7.87598,161.498,6188,4.27166,2.62
candidate,2458620.317,25.0571312,7.5424225,533.486013,9.6245,143.138,5696,4.26563,1.15281
candidate,2458563.89,24.2454967,3.3725583,6260.67036,10.2565,27.6227,3535,4.84874,0.465271
